,0,1,2,3,4,5,6,7,8,9,10,11
0,1594.0,1522.0,1478.0,1475.0,1534.0,1709.0,1592.0,1553.0,1472.0,1460.0,1548.0,1742.0
1,22.0,22.0,21.0,22.0,23.0,20.0,22.0,22.0,22.0,18.0,20.0,23.0
2,1383.0,1458.0,1381.0,1376.0,1379.0,1346.0,1439.0,1427.0,1385.0,1368.0,1327.0,1354.0
3,20.0,23.0,24.0,21.0,19.0,23.0,21.0,20.0,23.0,21.0,25.0,21.0
4,1530.0,1566.0,1582.0,1606.0,1546.0,1464.0,1660.0,1619.0,1608.0,1516.0,1510.0,1404.0
5,2674.0,1921.0,1500.0,1301.0,1264.0,1148.0,1126.0,1092.0,21.0,24.0,22.0,22.0
6,1906.0,1625.0,1711.0,1653.0,1746.0,1915.0,1921.0,1693.0,1653.0,1604.0,1660.0,1732.0
7,2625.0,1870.0,1515.0,1303.0,1221.0,1154.0,1130.0,1100.0,22.0,23.0,23.0,18.0
