,0,1,2,3,4,5,6,7,8,9,10,11
0,8340.0,7925.0,7672.0,7466.0,7879.0,8865.0,8384.0,8108.0,7654.0,7633.0,8129.0,9235.0
1,34.0,32.0,35.0,32.0,33.0,35.0,31.0,32.0,35.0,32.0,31.0,31.0
2,7317.0,7535.0,7108.0,7001.0,7041.0,7084.0,7484.0,7411.0,7279.0,7209.0,7151.0,7242.0
3,36.0,34.0,31.0,31.0,30.0,33.0,36.0,32.0,32.0,32.0,35.0,31.0
4,8152.0,8286.0,8201.0,8202.0,7875.0,7638.0,8448.0,8273.0,8314.0,8055.0,7974.0,7509.0
5,14267.0,10040.0,7707.0,6617.0,6284.0,5858.0,5718.0,5611.0,33.0,32.0,35.0,32.0
6,10011.0,8352.0,8778.0,8339.0,8640.0,9668.0,9639.0,8506.0,8521.0,8312.0,8718.0,9196.0
7,14105.0,9832.0,7730.0,6704.0,6140.0,5854.0,5690.0,5590.0,33.0,32.0,32.0,32.0
