,0,1,2,3,4,5,6,7,8,9,10,11
0,4015.0,3861.0,3755.0,3753.0,3971.0,4414.0,4154.0,4101.0,3875.0,3795.0,4001.0,4539.0
1,23.0,23.0,24.0,25.0,23.0,22.0,28.0,24.0,21.0,19.0,21.0,25.0
2,3563.0,3719.0,3544.0,3552.0,3584.0,3480.0,3745.0,3677.0,3624.0,3562.0,3401.0,3518.0
3,22.0,24.0,24.0,25.0,23.0,24.0,21.0,20.0,25.0,25.0,23.0,22.0
4,3958.0,4055.0,4094.0,4086.0,3921.0,3665.0,4219.0,4024.0,4084.0,3857.0,3826.0,3541.0
5,6911.0,4954.0,3866.0,3344.0,3270.0,2954.0,2840.0,2808.0,24.0,24.0,22.0,23.0
6,4844.0,4125.0,4336.0,4145.0,4459.0,4843.0,4822.0,4258.0,4179.0,3996.0,4113.0,4300.0
7,6682.0,4696.0,3799.0,3281.0,3068.0,2882.0,2830.0,2725.0,24.0,24.0,23.0,25.0
